County,Office,Candidate,Party,County Total,State Total
Newton,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,7,1279
Noxubee,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,10,1279
Oktibbeha,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,17,1279
Panola,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,19,1279
Pearl River,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,18,1279
Perry,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,6,1279
Pike,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,21,1279
Pontotoc,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,16,1279
Prentiss,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,10,1279
Quitman,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,7,1279
Rankin,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,42,1279
Scott,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,6,1279
Sharkey,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,1,1279
Simpson,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,14,1279
Smith,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,9,1279
Stone,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,13,1279
Sunflower,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,13,1279
Tallahatchie,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,11,1279
Tate,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,12,1279
Tippah,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,11,1279
Tishomingo,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,10,1279
Tunica,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,2,1279
Union,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,9,1279
Walthall,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,6,1279
Warren,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,24,1279
Washington,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,12,1279
Wayne,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,14,1279
Webster,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,4,1279
Wilkinson,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,10,1279
Winston,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,2,1279
Yalobusha,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,8,1279
Yazoo,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,14,1279
Adams,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,8,1161
Alcorn,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,7,1161
Amite,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,10,1161
Attala,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,8,1161
Benton,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,6,1161
Bolivar,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,20,1161
Calhoun,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,2,1161
Carroll,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,2,1161
Chickasaw,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,8,1161
Choctaw,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,3,1161
