ElectionDate	OfficeCode(Text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyName	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nominated(N)/Elected(E)
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			1	W		
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		6000			
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		10686			
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			220			
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			26			
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			28			
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			6			
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		2	W		
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			1	W		
11/3/2020	1	0	0	4	ALPENA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5960			
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		9748			
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			189			
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			16			
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			28			
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			8			
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		2774			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		5928			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			97			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			17			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			12			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			3			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		1478			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		2512			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			31			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			5			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			10			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			0			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			2	W		
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		11797			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		23471			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			479			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			59			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			83			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			16			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		26151			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		33125			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			688			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			102			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			155			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			32			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			2	W		
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5480			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		6601			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			128			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			13			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			29			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			9			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		2	W		
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		37438			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		43519			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			1062			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			140			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			173			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			47			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		11	W		
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			1	W		
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		6159			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		14064			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			216			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			38			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			47			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			12			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		28877			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		36221			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			890			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			117			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			137			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			34			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		4	W		
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			1	W		
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		9130			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		16699			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			286			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			40			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			45			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			13			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		2	W		
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			1	W		
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		6939			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		9841			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			160			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			13			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			43			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			4			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5437			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		10186			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			196			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			18			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			23			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			8			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		6648			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		10681			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			233			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			26			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			39			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			13			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		1	W		
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			1	W		
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5199			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		10861			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			162			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			22			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			34			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			3			
