"Precinct_Name","Split_Name","precinct_splitId","Reg_voters","Ballots","Reporting","Contest_id","Contest_title","Contest_party","Choice_id","Candidate_name","Choice_party","Candidate_Type","Absentee_votes","Early_votes","Election_Votes"
"01-02","","2","1041","770","1","82","HAWAI'I: Board of Ethics","","191","YES","","C","0","8","503"
"01-02","","2","1041","770","1","82","HAWAI'I: Board of Ethics","","192","NO","","C","0","7","153"
"01-03","","3","1118","824","1","1","President and Vice President","","1","(C) BLANKENSHIP / MOHR","","C","0","0","1"
"01-03","","3","1118","824","1","1","President and Vice President","","2","(D) BIDEN / HARRIS","","C","0","10","569"
"01-03","","3","1118","824","1","1","President and Vice President","","3","(G) HAWKINS / WALKER","","C","0","0","11"
"01-03","","3","1118","824","1","1","President and Vice President","","4","(L) JORGENSEN / COHEN","","C","0","1","10"
"01-03","","3","1118","824","1","1","President and Vice President","","5","(R) TRUMP / PENCE","","C","0","14","197"
"01-03","","3","1118","824","1","1","President and Vice President","","6","(AS) PIERCE / BALLARD","","C","0","0","2"
"01-03","","3","1118","824","1","3","U.S. Representative, Dist II","","9","(R) AKANA, Joe","","C","0","12","139"
"01-03","","3","1118","824","1","3","U.S. Representative, Dist II","","10","(N) BURRUS, Ron","","C","0","0","9"
"01-03","","3","1118","824","1","3","U.S. Representative, Dist II","","11","(AS) GIUFFRE, John (Raghu)","","C","0","0","5"
"01-03","","3","1118","824","1","3","U.S. Representative, Dist II","","12","(A) HOOMANAWANUI, Jonathan","","C","0","0","11"
"01-03","","3","1118","824","1","3","U.S. Representative, Dist II","","13","(D) KAHELE, Kaiali'i (Kai)","","C","0","11","561"
"01-03","","3","1118","824","1","3","U.S. Representative, Dist II","","14","(L) TIPPENS, Michelle Rose","","C","0","1","17"
"01-03","","3","1118","824","1","12","State Representative, Dist 1","","32","(D) NAKASHIMA, Mark M.","","C","0","10","564"
"01-03","","3","1118","824","1","12","State Representative, Dist 1","","33","(R) SHIN, Lorraine Pualani","","C","0","13","199"
"01-03","","3","1118","824","1","46","Hawaii Resident Trustee","","109","LINDSEY, Keola","","C","0","8","324"
"01-03","","3","1118","824","1","46","Hawaii Resident Trustee","","110","MANGAUIL, Lanakila","","C","0","10","309"
"01-03","","3","1118","824","1","47","Molokai Resident Trustee","","111","ALAPA, Luana","","C","0","8","226"
"01-03","","3","1118","824","1","47","Molokai Resident Trustee","","112","MACHADO, Colette (Piipii)","","C","0","2","226"
"01-03","","3","1118","824","1","48","At-Large Trustee","","113","AKINA, Keli'i","","C","0","5","260"
"01-03","","3","1118","824","1","48","At-Large Trustee","","114","SOUZA, Keoni","","C","0","6","266"
"01-03","","3","1118","824","1","49","Mayor, County of Hawaii","","115","MARZO, Ikaika","","C","0","11","342"
"01-03","","3","1118","824","1","49","Mayor, County of Hawaii","","116","ROTH, Mitch","","C","0","11","440"
"01-03","","3","1118","824","1","50","Councilmember, Dist 1, County of Hawaii","","117","KIMBALL, Heather L.","","C","0","11","471"
"01-03","","3","1118","824","1","50","Councilmember, Dist 1, County of Hawaii","","118","YAGONG, Dominic","","C","0","7","278"
"01-03","","3","1118","824","1","67","HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter","","161","YES","","C","0","14","529"
"01-03","","3","1118","824","1","67","HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter","","162","NO","","C","0","5","167"
"01-03","","3","1118","824","1","68","HAWAI'I: Council Meeting Locations","","163","YES","","C","0","15","586"
"01-03","","3","1118","824","1","68","HAWAI'I: Council Meeting Locations","","164","NO","","C","0","4","138"
"01-03","","3","1118","824","1","69","HAWAI'I: Department of Research & Development","","165","YES","","C","0","12","577"
"01-03","","3","1118","824","1","69","HAWAI'I: Department of Research & Development","","166","NO","","C","0","5","123"
"01-03","","3","1118","824","1","70","HAWAI'I: Authority of Police & Fire Commissions","","167","YES","","C","0","15","575"
"01-03","","3","1118","824","1","70","HAWAI'I: Authority of Police & Fire Commissions","","168","NO","","C","0","5","140"
"01-03","","3","1118","824","1","71","HAWAI'I: Terms of Council Members","","169","YES","","C","0","9","344"
"01-03","","3","1118","824","1","71","HAWAI'I: Terms of Council Members","","170","NO","","C","0","11","383"
"01-03","","3","1118","824","1","72","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund","","171","YES","","C","0","14","417"
"01-03","","3","1118","824","1","72","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund","","172","NO","","C","0","6","287"
"01-03","","3","1118","824","1","73","HAWAI'I: Discipline of Council Members","","173","YES","","C","0","18","638"
"01-03","","3","1118","824","1","73","HAWAI'I: Discipline of Council Members","","174","NO","","C","0","1","80"
"01-03","","3","1118","824","1","74","HAWAI'I: Department of Information Technology","","175","YES","","C","0","8","323"
"01-03","","3","1118","824","1","74","HAWAI'I: Department of Information Technology","","176","NO","","C","0","8","363"
"01-03","","3","1118","824","1","75","HAWAI'I: Establishment of a Disaster & Emergency Fund","","177","YES","","C","0","13","379"
"01-03","","3","1118","824","1","75","HAWAI'I: Establishment of a Disaster & Emergency Fund","","178","NO","","C","0","5","322"
"01-03","","3","1118","824","1","76","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund","","179","YES","","C","0","9","356"
"01-03","","3","1118","824","1","76","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund","","180","NO","","C","0","9","335"
"01-03","","3","1118","824","1","77","HAWAI'I: Mandatory Charter Reviews","","181","YES","","C","0","15","544"
"01-03","","3","1118","824","1","77","HAWAI'I: Mandatory Charter Reviews","","182","NO","","C","0","3","136"
"01-03","","3","1118","824","1","78","HAWAI'I: Corporation Counsel","","183","YES","","C","0","13","559"
"01-03","","3","1118","824","1","78","HAWAI'I: Corporation Counsel","","184","NO","","C","0","4","134"
"01-03","","3","1118","824","1","79","HAWAI'I: Hawai'i Fire Department","","185","YES","","C","0","13","490"
"01-03","","3","1118","824","1","79","HAWAI'I: Hawai'i Fire Department","","186","NO","","C","0","4","193"
"01-03","","3","1118","824","1","80","HAWAI'I: Membership on Boards & Commissions","","187","YES","","C","0","10","383"
"01-03","","3","1118","824","1","80","HAWAI'I: Membership on Boards & Commissions","","188","NO","","C","0","7","301"
"01-03","","3","1118","824","1","81","HAWAI'I: Capital Budget & Capital Programs","","189","YES","","C","0","14","554"
"01-03","","3","1118","824","1","81","HAWAI'I: Capital Budget & Capital Programs","","190","NO","","C","0","4","127"
"01-03","","3","1118","824","1","82","HAWAI'I: Board of Ethics","","191","YES","","C","0","12","553"
"01-03","","3","1118","824","1","82","HAWAI'I: Board of Ethics","","192","NO","","C","0","5","145"
"01-04","","4","337","268","1","1","President and Vice President","","1","(C) BLANKENSHIP / MOHR","","C","0","0","0"
"01-04","","4","337","268","1","1","President and Vice President","","2","(D) BIDEN / HARRIS","","C","0","8","178"
"01-04","","4","337","268","1","1","President and Vice President","","3","(G) HAWKINS / WALKER","","C","0","0","3"
"01-04","","4","337","268","1","1","President and Vice President","","4","(L) JORGENSEN / COHEN","","C","0","0","4"
"01-04","","4","337","268","1","1","President and Vice President","","5","(R) TRUMP / PENCE","","C","0","17","50"
"01-04","","4","337","268","1","1","President and Vice President","","6","(AS) PIERCE / BALLARD","","C","0","0","2"
"01-04","","4","337","268","1","3","U.S. Representative, Dist II","","9","(R) AKANA, Joe","","C","0","13","52"
"01-04","","4","337","268","1","3","U.S. Representative, Dist II","","10","(N) BURRUS, Ron","","C","0","0","1"
"01-04","","4","337","268","1","3","U.S. Representative, Dist II","","11","(AS) GIUFFRE, John (Raghu)","","C","0","1","1"
"01-04","","4","337","268","1","3","U.S. Representative, Dist II","","12","(A) HOOMANAWANUI, Jonathan","","C","0","3","1"
"01-04","","4","337","268","1","3","U.S. Representative, Dist II","","13","(D) KAHELE, Kaiali'i (Kai)","","C","0","8","154"
"01-04","","4","337","268","1","3","U.S. Representative, Dist II","","14","(L) TIPPENS, Michelle Rose","","C","0","0","10"
"01-04","","4","337","268","1","12","State Representative, Dist 1","","32","(D) NAKASHIMA, Mark M.","","C","0","7","163"
"01-04","","4","337","268","1","12","State Representative, Dist 1","","33","(R) SHIN, Lorraine Pualani","","C","0","17","69"
"01-04","","4","337","268","1","46","Hawaii Resident Trustee","","109","LINDSEY, Keola","","C","0","17","112"
"01-04","","4","337","268","1","46","Hawaii Resident Trustee","","110","MANGAUIL, Lanakila","","C","0","4","75"
"01-04","","4","337","268","1","47","Molokai Resident Trustee","","111","ALAPA, Luana","","C","0","10","97"
"01-04","","4","337","268","1","47","Molokai Resident Trustee","","112","MACHADO, Colette (Piipii)","","C","0","10","45"
"01-04","","4","337","268","1","48","At-Large Trustee","","113","AKINA, Keli'i","","C","0","12","118"
"01-04","","4","337","268","1","48","At-Large Trustee","","114","SOUZA, Keoni","","C","0","8","45"
"01-04","","4","337","268","1","49","Mayor, County of Hawaii","","115","MARZO, Ikaika","","C","0","11","69"
"01-04","","4","337","268","1","49","Mayor, County of Hawaii","","116","ROTH, Mitch","","C","0","13","166"
"01-04","","4","337","268","1","50","Councilmember, Dist 1, County of Hawaii","","117","KIMBALL, Heather L.","","C","0","13","165"
"01-04","","4","337","268","1","50","Councilmember, Dist 1, County of Hawaii","","118","YAGONG, Dominic","","C","0","10","62"
"01-04","","4","337","268","1","67","HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter","","161","YES","","C","0","15","151"
"01-04","","4","337","268","1","67","HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter","","162","NO","","C","0","9","56"
"01-04","","4","337","268","1","68","HAWAI'I: Council Meeting Locations","","163","YES","","C","0","21","152"
"01-04","","4","337","268","1","68","HAWAI'I: Council Meeting Locations","","164","NO","","C","0","3","62"
"01-04","","4","337","268","1","69","HAWAI'I: Department of Research & Development","","165","YES","","C","0","22","187"
"01-04","","4","337","268","1","69","HAWAI'I: Department of Research & Development","","166","NO","","C","0","2","27"
"01-04","","4","337","268","1","70","HAWAI'I: Authority of Police & Fire Commissions","","167","YES","","C","0","23","172"
"01-04","","4","337","268","1","70","HAWAI'I: Authority of Police & Fire Commissions","","168","NO","","C","0","0","40"
"01-04","","4","337","268","1","71","HAWAI'I: Terms of Council Members","","169","YES","","C","0","10","94"
"01-04","","4","337","268","1","71","HAWAI'I: Terms of Council Members","","170","NO","","C","0","13","120"
"01-04","","4","337","268","1","72","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund","","171","YES","","C","0","16","129"
"01-04","","4","337","268","1","72","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund","","172","NO","","C","0","7","79"
"01-04","","4","337","268","1","73","HAWAI'I: Discipline of Council Members","","173","YES","","C","0","20","186"
"01-04","","4","337","268","1","73","HAWAI'I: Discipline of Council Members","","174","NO","","C","0","3","26"
"01-04","","4","337","268","1","74","HAWAI'I: Department of Information Technology","","175","YES","","C","0","9","90"
"01-04","","4","337","268","1","74","HAWAI'I: Department of Information Technology","","176","NO","","C","0","11","104"
"01-04","","4","337","268","1","75","HAWAI'I: Establishment of a Disaster & Emergency Fund","","177","YES","","C","0","16","109"
"01-04","","4","337","268","1","75","HAWAI'I: Establishment of a Disaster & Emergency Fund","","178","NO","","C","0","7","98"
"01-04","","4","337","268","1","76","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund","","179","YES","","C","0","11","95"
"01-04","","4","337","268","1","76","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund","","180","NO","","C","0","11","107"
"01-04","","4","337","268","1","77","HAWAI'I: Mandatory Charter Reviews","","181","YES","","C","0","18","161"
"01-04","","4","337","268","1","77","HAWAI'I: Mandatory Charter Reviews","","182","NO","","C","0","3","37"
"01-04","","4","337","268","1","78","HAWAI'I: Corporation Counsel","","183","YES","","C","0","14","165"
"01-04","","4","337","268","1","78","HAWAI'I: Corporation Counsel","","184","NO","","C","0","8","37"
"01-04","","4","337","268","1","79","HAWAI'I: Hawai'i Fire Department","","185","YES","","C","0","13","148"
"01-04","","4","337","268","1","79","HAWAI'I: Hawai'i Fire Department","","186","NO","","C","0","7","52"
"01-04","","4","337","268","1","80","HAWAI'I: Membership on Boards & Commissions","","187","YES","","C","0","10","114"
"01-04","","4","337","268","1","80","HAWAI'I: Membership on Boards & Commissions","","188","NO","","C","0","11","83"
"01-04","","4","337","268","1","81","HAWAI'I: Capital Budget & Capital Programs","","189","YES","","C","0","20","169"
"01-04","","4","337","268","1","81","HAWAI'I: Capital Budget & Capital Programs","","190","NO","","C","0","2","27"
"01-04","","4","337","268","1","82","HAWAI'I: Board of Ethics","","191","YES","","C","0","18","168"
"01-04","","4","337","268","1","82","HAWAI'I: Board of Ethics","","192","NO","","C","0","4","43"
"01-05","","5","1942","1418","1","1","President and Vice President","","1","(C) BLANKENSHIP / MOHR","","C","0","0","0"
"01-05","","5","1942","1418","1","1","President and Vice President","","2","(D) BIDEN / HARRIS","","C","0","25","1025"
"01-05","","5","1942","1418","1","1","President and Vice President","","3","(G) HAWKINS / WALKER","","C","0","0","12"
"01-05","","5","1942","1418","1","1","President and Vice President","","4","(L) JORGENSEN / COHEN","","C","0","0","14"
"01-05","","5","1942","1418","1","1","President and Vice President","","5","(R) TRUMP / PENCE","","C","0","30","300"
"01-05","","5","1942","1418","1","1","President and Vice President","","6","(AS) PIERCE / BALLARD","","C","0","0","1"
"01-05","","5","1942","1418","1","3","U.S. Representative, Dist II","","9","(R) AKANA, Joe","","C","0","24","226"
"01-05","","5","1942","1418","1","3","U.S. Representative, Dist II","","10","(N) BURRUS, Ron","","C","0","1","20"
"01-05","","5","1942","1418","1","3","U.S. Representative, Dist II","","11","(AS) GIUFFRE, John (Raghu)","","C","0","0","5"
"01-05","","5","1942","1418","1","3","U.S. Representative, Dist II","","12","(A) HOOMANAWANUI, Jonathan","","C","0","2","25"
"01-05","","5","1942","1418","1","3","U.S. Representative, Dist II","","13","(D) KAHELE, Kaiali'i (Kai)","","C","0","23","964"
"01-05","","5","1942","1418","1","3","U.S. Representative, Dist II","","14","(L) TIPPENS, Michelle Rose","","C","0","3","30"
"01-05","","5","1942","1418","1","12","State Representative, Dist 1","","32","(D) NAKASHIMA, Mark M.","","C","0","20","919"
"01-05","","5","1942","1418","1","12","State Representative, Dist 1","","33","(R) SHIN, Lorraine Pualani","","C","0","33","374"
"01-05","","5","1942","1418","1","46","Hawaii Resident Trustee","","109","LINDSEY, Keola","","C","0","30","578"
"01-05","","5","1942","1418","1","46","Hawaii Resident Trustee","","110","MANGAUIL, Lanakila","","C","0","17","421"
"01-05","","5","1942","1418","1","47","Molokai Resident Trustee","","111","ALAPA, Luana","","C","0","23","425"
"01-05","","5","1942","1418","1","47","Molokai Resident Trustee","","112","MACHADO, Colette (Piipii)","","C","0","18","403"
"01-05","","5","1942","1418","1","48","At-Large Trustee","","113","AKINA, Keli'i","","C","0","17","498"
"01-05","","5","1942","1418","1","48","At-Large Trustee","","114","SOUZA, Keoni","","C","0","27","409"
"01-05","","5","1942","1418","1","49","Mayor, County of Hawaii","","115","MARZO, Ikaika","","C","0","31","515"
"01-05","","5","1942","1418","1","49","Mayor, County of Hawaii","","116","ROTH, Mitch","","C","0","24","814"
