elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/3/2020,"ALFALFA","ALFALFA COUNTY",10006,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",,8,8,1,"FRANK D. LUCAS",REP,95,349,1590,2034,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",10006,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",,8,8,2,"ZOE MIDYETT",DEM,38,47,133,218,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,8,8,1,"YES",,78,252,1117,1447,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,8,8,2,"NO",,40,111,475,626,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,8,8,1,"YES",,78,274,1135,1487,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,8,8,2,"NO",,40,88,461,589,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,8,8,1,"YES",,72,254,1106,1432,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,8,8,2,"NO",,46,107,477,630,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,8,8,1,"YES",,77,258,1112,1447,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,8,8,2,"NO",,41,105,472,618,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,8,8,1,"YES",,73,251,1088,1412,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,8,8,2,"NO",,45,108,482,635,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,8,8,1,"YES",,78,256,1044,1378,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,8,8,2,"NO",,40,103,530,673,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,8,8,1,"YES",,76,257,1047,1380,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,8,8,2,"NO",,42,102,519,663,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,8,8,1,"YES",,69,256,1046,1371,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,8,8,2,"NO",,48,103,525,676,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,8,8,1,"FOR THE PROPOSAL - YES",,57,96,460,613,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,8,8,2,"AGAINST THE PROPOSAL - NO",,74,296,1241,1611,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,8,8,1,"FOR THE PROPOSAL - YES",,66,176,712,954,,
11/3/2020,"ALFALFA","ALFALFA COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,8,8,2,"AGAINST THE PROPOSAL - NO",,64,215,977,1256,,
11/3/2020,"ATOKA","ATOKA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,1,"DONALD J. TRUMP | MICHAEL R. PENCE",REP,150,1088,3319,4557,,
11/3/2020,"ATOKA","ATOKA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,2,"JO JORGENSEN | JEREMY SPIKE COHEN",LIB,4,10,35,49,,
11/3/2020,"ATOKA","ATOKA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,3,"JOSEPH R. BIDEN | KAMALA D. HARRIS",DEM,114,197,454,765,,
11/3/2020,"ATOKA","ATOKA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,4,"JADE SIMMONS | CLAUDELIAH J. ROZE",IND,0,1,3,4,,
11/3/2020,"ATOKA","ATOKA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,5,"KANYE WEST | MICHELLE TIDBALL",IND,0,1,7,8,,
11/3/2020,"ATOKA","ATOKA COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,6,"BROCK PIERCE | KARLA BALLARD",IND,2,0,4,6,,
11/3/2020,"ATOKA","ATOKA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,17,17,1,"TODD HIETT",REP,160,1072,3232,4464,,
11/3/2020,"ATOKA","ATOKA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,17,17,2,"TODD HAGOPIAN",LIB,60,132,393,585,,
11/3/2020,"ATOKA","ATOKA COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,1,"JIM INHOFE",REP,140,1060,3180,4380,,
11/3/2020,"ATOKA","ATOKA COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,2,"ROBERT MURPHY",LIB,10,20,53,83,,
11/3/2020,"ATOKA","ATOKA COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,3,"ABBY BROYLES",DEM,111,195,492,798,,
11/3/2020,"ATOKA","ATOKA COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,4,"JOAN FARR",IND,4,6,44,54,,
11/3/2020,"ATOKA","ATOKA COUNTY",10003,"FOR UNITED STATES SENATOR",,17,17,5,"A. D. NESBIT",IND,4,2,25,31,,
11/3/2020,"ATOKA","ATOKA COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,1,"MARKWAYNE MULLIN",REP,147,1065,3246,4458,,
11/3/2020,"ATOKA","ATOKA COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,2,"RICHIE CASTALDO",LIB,7,23,64,94,,
11/3/2020,"ATOKA","ATOKA COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,3,"DANYELL LANIER",DEM,116,187,474,777,,
11/3/2020,"ATOKA","ATOKA COUNTY",10011,"FOR STATE SENATOR DISTRICT 5",,6,6,1,"GEORGE H BURNS",REP,27,99,771,897,,
11/3/2020,"ATOKA","ATOKA COUNTY",10011,"FOR STATE SENATOR DISTRICT 5",,6,6,2,"RANDY COLEMAN",DEM,22,16,114,152,,
11/3/2020,"ATOKA","ATOKA COUNTY",10368,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,4,4,1,"SPIKE EAVES",REP,35,397,777,1209,ATOKA
11/3/2020,"ATOKA","ATOKA COUNTY",10368,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,4,4,2,"DALE SHEFFIELD",DEM,38,181,396,615,ATOKA
11/3/2020,"ATOKA","ATOKA COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,17,17,1,"YES",,140,724,2258,3122,,
11/3/2020,"ATOKA","ATOKA COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,17,17,2,"NO",,78,350,1054,1482,,
11/3/2020,"ATOKA","ATOKA COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,17,17,1,"YES",,150,687,2069,2906,,
11/3/2020,"ATOKA","ATOKA COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,17,17,2,"NO",,70,393,1260,1723,,
11/3/2020,"ATOKA","ATOKA COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,17,17,1,"YES",,135,712,2214,3061,,
11/3/2020,"ATOKA","ATOKA COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,17,17,2,"NO",,79,359,1092,1530,,
11/3/2020,"ATOKA","ATOKA COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,17,17,1,"YES",,139,698,2178,3015,,
11/3/2020,"ATOKA","ATOKA COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,17,17,2,"NO",,77,362,1111,1550,,
11/3/2020,"ATOKA","ATOKA COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,17,17,1,"YES",,145,684,2157,2986,,
11/3/2020,"ATOKA","ATOKA COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,17,17,2,"NO",,71,365,1111,1547,,
11/3/2020,"ATOKA","ATOKA COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,17,17,1,"YES",,141,616,1909,2666,,
11/3/2020,"ATOKA","ATOKA COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,17,17,2,"NO",,74,435,1342,1851,,
11/3/2020,"ATOKA","ATOKA COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,17,17,1,"YES",,142,622,1902,2666,,
11/3/2020,"ATOKA","ATOKA COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,17,17,2,"NO",,72,424,1345,1841,,
11/3/2020,"ATOKA","ATOKA COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,17,17,1,"YES",,140,628,1938,2706,,
11/3/2020,"ATOKA","ATOKA COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,17,17,2,"NO",,77,420,1314,1811,,
11/3/2020,"ATOKA","ATOKA COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,17,17,1,"FOR THE PROPOSAL - YES",,113,280,757,1150,,
11/3/2020,"ATOKA","ATOKA COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,17,17,2,"AGAINST THE PROPOSAL - NO",,150,960,2925,4035,,
11/3/2020,"ATOKA","ATOKA COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,17,17,1,"FOR THE PROPOSAL - YES",,100,476,1313,1889,,
11/3/2020,"ATOKA","ATOKA COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,17,17,2,"AGAINST THE PROPOSAL - NO",,163,727,2310,3200,,
11/3/2020,"ATOKA","ATOKA COUNTY",30013,"PROPOSITION",,17,17,1,"FOR THE PROPOSITION - YES",,143,730,2050,2923,,
11/3/2020,"ATOKA","ATOKA COUNTY",30013,"PROPOSITION",,17,17,2,"AGAINST THE PROPOSITION - NO",,120,512,1620,2252,,
11/3/2020,"BEAVER","BEAVER COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,1,"DONALD J. TRUMP | MICHAEL R. PENCE",REP,120,303,1545,1968,,
11/3/2020,"BEAVER","BEAVER COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,2,"JO JORGENSEN | JEREMY SPIKE COHEN",LIB,1,2,12,15,,
11/3/2020,"BEAVER","BEAVER COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,3,"JOSEPH R. BIDEN | KAMALA D. HARRIS",DEM,35,42,113,190,,
11/3/2020,"BEAVER","BEAVER COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,4,"JADE SIMMONS | CLAUDELIAH J. ROZE",IND,0,0,1,1,,
11/3/2020,"BEAVER","BEAVER COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,5,"KANYE WEST | MICHELLE TIDBALL",IND,0,0,2,2,,
11/3/2020,"BEAVER","BEAVER COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,6,"BROCK PIERCE | KARLA BALLARD",IND,0,1,1,2,,
11/3/2020,"BEAVER","BEAVER COUNTY",10002,"FOR CORPORATION COMMISSIONER",,7,7,1,"TODD HIETT",REP,124,303,1486,1913,,
11/3/2020,"BEAVER","BEAVER COUNTY",10002,"FOR CORPORATION COMMISSIONER",,7,7,2,"TODD HAGOPIAN",LIB,21,25,133,179,,
11/3/2020,"BEAVER","BEAVER COUNTY",10003,"FOR UNITED STATES SENATOR",,7,7,1,"JIM INHOFE",REP,117,296,1476,1889,,
11/3/2020,"BEAVER","BEAVER COUNTY",10003,"FOR UNITED STATES SENATOR",,7,7,2,"ROBERT MURPHY",LIB,1,6,36,43,,
11/3/2020,"BEAVER","BEAVER COUNTY",10003,"FOR UNITED STATES SENATOR",,7,7,3,"ABBY BROYLES",DEM,35,42,118,195,,
11/3/2020,"BEAVER","BEAVER COUNTY",10003,"FOR UNITED STATES SENATOR",,7,7,4,"JOAN FARR",IND,2,1,19,22,,
11/3/2020,"BEAVER","BEAVER COUNTY",10003,"FOR UNITED STATES SENATOR",,7,7,5,"A. D. NESBIT",IND,1,2,12,15,,
11/3/2020,"BEAVER","BEAVER COUNTY",10006,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",,7,7,1,"FRANK D. LUCAS",REP,124,308,1556,1988,,
11/3/2020,"BEAVER","BEAVER COUNTY",10006,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",,7,7,2,"ZOE MIDYETT",DEM,32,40,103,175,,
11/3/2020,"BEAVER","BEAVER COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,7,7,1,"YES",,106,214,1082,1402,,
11/3/2020,"BEAVER","BEAVER COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,7,7,2,"NO",,33,79,375,487,,
11/3/2020,"BEAVER","BEAVER COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,7,7,1,"YES",,90,207,1001,1298,,
11/3/2020,"BEAVER","BEAVER COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,7,7,2,"NO",,50,88,446,584,,
11/3/2020,"BEAVER","BEAVER COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,7,7,1,"YES",,102,207,1070,1379,,
11/3/2020,"BEAVER","BEAVER COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,7,7,2,"NO",,38,84,372,494,,
11/3/2020,"BEAVER","BEAVER COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,7,7,1,"YES",,106,210,1059,1375,,
11/3/2020,"BEAVER","BEAVER COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,7,7,2,"NO",,34,81,380,495,,
11/3/2020,"BEAVER","BEAVER COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,7,7,1,"YES",,102,195,1023,1320,,
11/3/2020,"BEAVER","BEAVER COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,7,7,2,"NO",,37,90,405,532,,
11/3/2020,"BEAVER","BEAVER COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,7,7,1,"YES",,85,181,932,1198,,
11/3/2020,"BEAVER","BEAVER COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,7,7,2,"NO",,55,103,493,651,,
11/3/2020,"BEAVER","BEAVER COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,7,7,1,"YES",,89,178,927,1194,,
11/3/2020,"BEAVER","BEAVER COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,7,7,2,"NO",,51,104,493,648,,
11/3/2020,"BEAVER","BEAVER COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,7,7,1,"YES",,89,189,955,1233,,
11/3/2020,"BEAVER","BEAVER COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,7,7,2,"NO",,51,94,464,609,,
11/3/2020,"BEAVER","BEAVER COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,7,7,1,"FOR THE PROPOSAL - YES",,66,87,403,556,,
11/3/2020,"BEAVER","BEAVER COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,7,7,2,"AGAINST THE PROPOSAL - NO",,86,249,1207,1542,,
