




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Stephens                      13132                         1470                          465                           5748                          3                             7686                          447                           151                           1239                          0                             1837                          86                            14                            143                           0                             243                           9766                          
Stewart                       2917                          343                           127                           332                           3                             805                           587                           221                           412                           2                             1222                          9                             7                             12                            0                             28                            2055                          
Sumter                        15181                         2348                          265                           2662                          1                             5276                          2127                          450                           2943                          0                             5520                          96                            10                            72                            0                             178                           10974                         
Talbot                        4138                          746                           100                           350                           0                             1196                          1089                          448                           465                           0                             2002                          25                            11                            10                            0                             46                            3244                          
Taliaferro                    1157                          166                           18                            165                           0                             349                           220                           89                            235                           1                             545                           0                             0                             3                             0                             3                             897                           
Tattnall                      9299                          1946                          423                           2724                          3                             5096                          678                           126                           874                           3                             1681                          46                            16                            47                            0                             109                           6886                          
Taylor                        4372                          677                           119                           1268                          0                             2064                          655                           176                           465                           0                             1296                          18                            4                             23                            0                             45                            3405                          
Telfair                       5029                          1303                          109                           1037                          1                             2450                          657                           225                           431                           0                             1313                          20                            3                             9                             0                             32                            3795                          
Terrell                       5871                          870                           96                            906                           2                             1874                          1093                          164                           1010                          0                             2267                          28                            2                             10                            0                             40                            4181                          
Thomas                        24693                         4302                          428                           6495                          3                             11228                         2823                          406                           3912                          1                             7142                          167                           23                            177                           1                             368                           18738                         
Tift                          19040                         3634                          344                           5597                          9                             9584                          1735                          198                           2408                          6                             4347                          131                           11                            102                           0                             244                           14175                         
Toombs                        15146                         2540                          342                           3731                          2                             6615                          1071                          256                           1011                          0                             2338                          87                            17                            54                            0                             158                           9111                          
Towns                         8608                          1448                          309                           3620                          6                             5383                          307                           91                            808                           4                             1210                          58                            10                            76                            2                             146                           6739                          
Treutlen                      3773                          611                           107                           1090                          1                             1809                          296                           59                            505                           2                             862                           16                            2                             14                            0                             32                            2703                          
Troup                         35513                         6782                          692                           8169                          107                           15750                         4768                          534                           4295                          116                           9713                          305                           33                            215                           8                             561                           26024                         
Turner                        4552                          609                           55                            1430                          1                             2095                          569                           30                            644                           3                             1246                          17                            2                             34                            0                             53                            3394                          
Twiggs                        5291                          1154                          87                            793                           1                             2035                          960                           240                           771                           0                             1971                          32                            4                             14                            0                             50                            4056                          
Union                         14370                         3341                          449                           6059                          3                             9852                          537                           172                           1253                          1                             1963                          98                            14                            116                           1                             229                           12044                         
Upson                         14058                         1719                          308                           5261                          4                             7292                          1246                          147                           2079                          3                             3475                          71                            10                            86                            0                             167                           10934                         
Walker                        32951                         7302                          681                           10960                         7                             18950                         1651                          274                           2288                          2                             4215                          409                           36                            343                           3                             791                           23956                         
Walton                        51318                         15918                         1228                          13955                         24                            31125                         4122                          447                           3712                          11                            8292                          644                           62                            347                           2                             1055                          40472                         
Ware                          16254                         3671                          358                           4479                          5                             8513                          1047                          219                           2170                          4                             3440                          110                           13                            83                            0                             206                           12159                         
Warren                        3105                          303                           75                            613                           0                             991                           654                           62                            597                           1                             1314                          10                            2                             16                            0                             28                            2333                          
Washington                    11002                         1779                          256                           2103                          11                            4149                          1824                          444                           1919                          13                            4200                          43                            12                            42                            1                             98                            8447                          
Wayne                         13496                         3408                          310                           4429                          6                             8153                          809                           85                            1145                          2                             2041                          107                           8                             75                            2                             192                           10386                         
Webster                       1433                          241                           66                            323                           0                             630                           241                           61                            169                           2                             473                           6                             0                             7                             0                             13                            1116                          
Wheeler                       2705                          669                           94                            655                           3                             1421                          295                           68                            283                           0                             646                           12                            3                             19                            1                             35                            2102                          
White                         14669                         4042                          482                           5227                          10                            9761                          588                           120                           964                           2                             1674                          191                           14                            143                           0                             348                           11783                         
Whitfield                     39588                         11057                         751                           9708                          21                            21537                         4220                          385                           3321                          11                            7937                          602                           40                            281                           1                             924                           30398                         
Wilcox                        3934                          993                           164                           939                           0                             2096                          573                           46                            233                           0                             852                           15                            3                             7                             0                             25                            2973                          
Wilkes                        5826                          1161                          88                            1320                          3                             2572                          961                           95                            788                           4                             1848                          34                            1                             22                            0                             57                            4477                          
Wilkinson                     5481                          1490                          81                            761                           1                             2333                          1005                          124                           763                           2                             1894                          35                            3                             13                            0                             51                            4278                          
Worth                         10724                         3401                          166                           2578                          7                             6152                          1001                          99                            916                           4                             2020                          54                            11                            42                            1                             108                           8280                          
Totals:                       5368410                       863089                        102766                        1120743                       2506                          2089104                       753766                        98417                         1020966                       4814                          1877963                       69198                         6533                          49249                         326                           125306                        4092373                       

                                                                                                                                                                                                                                 United States Senator, Isakson
                                                            JOHNNY ISAKSON (I) (REP)                                                                                                                              JIM BARKSDALE (DEM)                                                                                                                                   ALLEN BUCKLEY (LIB)                                                                                                                                   
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       9242                          2793                          360                           2015                          2                             5170                          564                           149                           474                           0                             1187                          79                            11                            64                            0                             154                           6511                          
Atkinson                      3695                          738                           61                            874                           5                             1678                          307                           25                            263                           1                             596                           37                            1                             27                            0                             65                            2339                          
Bacon                         5385                          1033                          129                           1880                          4                             3046                          205                           34                            234                           1                             474                           38                            2                             55                            0                             95                            3615                          
Baker                         1974                          388                           75                            299                           1                             763                           259                           66                            205                           1                             531                           16                            3                             10                            0                             29                            1323                          
Baldwin                       21052                         2924                          364                           4506                          2                             7796                          2716                          684                           3382                          5                             6787                          211                           27                            225                           1                             464                           15047                         
Banks                         8581                          2819                          182                           2703                          1                             5705                          349                           40                            284                           0                             673                           172                           17                            115                           0                             304                           6682                          
Barrow                        37213                         8546                          770                           10965                         0                             20281                         2433                          358                           2899                          1                             5691                          853                           42                            713                           0                             1608                          27580                         
Bartow                        52253                         14515                         1066                          12474                         18                            28073                         3608                          406                           3270                          7                             7291                          1251                          51                            704                           2                             2008                          37372                         
Ben Hill                      7899                          873                           122                           2589                          5                             3589                          556                           112                           1069                          2                             1739                          48                            8                             79                            0                             135                           5463                          
Berrien                       10920                         2203                          276                           2568                          14                            5061                          434                           80                            375                           6                             895                           92                            17                            117                           0                             226                           6182                          
Bibb                          86854                         13342                         1600                          10612                         47                            25601                         13774                         2034                          15579                         146                           31533                         935                           81                            650                           11                            1677                          58811                         
Bleckley                      6162                          1518                          133                           2045                          2                             3698                          403                           104                           410                           6                             923                           58                            8                             81                            0                             147                           4768                          
Brantley                      8304                          2160                          188                           2491                          5                             4844                          311                           32                            266                           2                             611                           139                           8                             97                            0                             244                           5699                          
Brooks                        8642                          1634                          174                           1637                          20                            3465                          855                           421                           792                           24                            2092                          88                            8                             87                            5                             188                           5745                          
Bryan                         20151                         3887                          310                           6284                          7                             10488                         1181                          200                           1833                          2                             3216                          284                           31                            339                           1                             655                           14359                         
Bulloch                       34926                         7496                          627                           7374                          33                            15530                         3289                          380                           4052                          17                            7738                          489                           41                            486                           0                             1016                          24284                         
Burke                         12481                         2206                          278                           1964                          0                             4448                          2113                          630                           1325                          0                             4068                          114                           15                            71                            0                             200                           8716                          
Butts                         12556                         1653                          195                           4472                          0                             6320                          716                           76                            1375                          0                             2167                          126                           9                             211                           0                             346                           8833                          
Calhoun                       2694                          469                           48                            345                           0                             862                           627                           101                           277                           2                             1007                          20                            1                             9                             0                             30                            1899                          
Camden                        25319                         4420                          634                           6388                          12                            11454                         1785                          424                           2884                          4                             5097                          518                           47                            439                           2                             1006                          17557                         
Candler                       4671                          580                           88                            1917                          3                             2588                          309                           44                            501                           1                             855                           35                            3                             67                            0                             105                           3548                          
Carroll                       57251                         12468                         905                           15622                         48                            29043                         4391                          487                           5952                          37                            10867                         1014                          70                            909                           4                             1997                          41907                         
Catoosa                       34831                         6201                          472                           12201                         14                            18888                         1424                          159                           2538                          0                             4121                          589                           28                            663                           1                             1281                          24290                         
Charlton                      5154                          1016                          150                           1319                          4                             2489                          377                           52                            442                           2                             873                           63                            9                             68                            1                             141                           3503                          
Chatham                       155339                        32859                         2214                          14620                         47                            49740                         31563                         2684                          17844                         55                            52146                         3038                          153                           881                           6                             4078                          105964                        
Chattahoochee                 4247                          390                           36                            269                           5                             700                           235                           24                            248                           1                             508                           32                            1                             29                            0                             62                            1270                          
Chattooga                     11099                         2697                          147                           2981                          2                             5827                          762                           72                            786                           2                             1622                          163                           5                             126                           1                             295                           7744                          
Cherokee                      138809                        31598                         3775                          44777                         16                            80166                         8284                          1290                          11137                         6                             20717                         3286                          289                           2862                          1                             6438                          107321                        
Clarke                        60411                         6969                          1128                          7407                          25                            15529                         10142                         1433                          13848                         51                            25474                         1185                          104                           911                           3                             2203                          43206                         
Clay                          1731                          172                           34                            352                           2                             560                           300                           67                            206                           1                             574                           9                             3                             11                            0                             23                            1157                          
Clayton                       134164                        4781                          994                           9124                          19                            14918                         25440                         2009                          41828                         123                           69400                         1086                          88                            1247                          7                             2428                          86746                         
Clinch                        3499                          602                           59                            885                           3                             1549                          236                           20                            237                           0                             493                           40                            3                             33                            0                             76                            2118                          
Cobb                          424176                        88936                         14208                         65847                         278                           169269                        60925                         8215                          64322                         409                           133871                        10350                         1092                          5441                          72                            16955                         320095                        
Coffee                        18897                         2814                          313                           5756                          0                             8883                          1428                          150                           1916                          0                             3494                          142                           8                             211                           0                             361                           12738                         
Colquitt                      18468                         4838                          285                           4491                          4                             9618                          1369                          151                           1204                          2                             2726                          176                           15                            146                           0                             337                           12681                         
Columbia                      81492                         17265                         1955                          23652                         19                            42891                         6053                          1109                          8629                          9                             15800                         1293                          153                           997                           0                             2443                          61134                         
Cook                          8037                          1545                          156                           2344                          0                             4045                          748                           63                            651                           0                             1462                          82                            4                             101                           0                             187                           5694                          
Coweta                        78788                         18594                         1993                          21374                         11                            41972                         6207                          772                           7102                          7                             14088                         1436                          136                           1240                          3                             2815                          58875                         
Crawford                      6525                          1526                          164                           1801                          3                             3494                          505                           87                            600                           1                             1193                          84                            3                             75                            0                             162                           4849                          
Crisp                         10228                         1369                          214                           2955                          8                             4546                          783                           109                           1352                          1                             2245                          67                            5                             98                            1                             171                           6962                          
Dade                          8588                          2241                          114                           2091                          2                             4448                          417                           45                            418                           0                             880                           196                           5                             146                           0                             347                           5675                          
Dawson                        14591                         2303                          422                           6574                          15                            9314                          318                           82                            831                           2                             1233                          230                           27                            401                           1                             659                           11206                         
Decatur                       13821                         2054                          281                           3248                          10                            5593                          1521                          223                           1768                          17                            3529                          148                           8                             130                           3                             289                           9411                          
DeKalb                        419871                        31038                         5202                          34682                         72                            70994                         77608                         10163                         130232                        380                           218383                        5897                          560                           5272                          32                            11761                         301138                        
Dodge                         11169                         2541                          238                           1987                          0                             4766                          745                           92                            604                           0                             1441                          85                            6                             81                            0                             172                           6379                          
Dooly                         5295                          851                           81                            1082                          8                             2022                          788                           90                            554                           9                             1441                          38                            1                             30                            1                             70                            3533                          
Dougherty                     49074                         6214                          599                           4227                          8                             11048                         10463                         963                           8856                          72                            20354                         351                           30                            177                           3                             561                           31963                         
