Election,Jurisdiction Name,Reporting County Name,DataEntry Jurisdiction Name,DataEntry Level Name,Office,Office Category,Ballot Order,Name on Ballot,Political Party,Total Votes
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,1
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,266
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,83801
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,4
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,6764
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,55222
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,701
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,4
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,8
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,4
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,1
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,5
2016 General Election,Statewide,Allen,Allen,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,28
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,30
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,20639
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,1911
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,9841
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,60
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,5
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Bartholomew,Bartholomew,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,3
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,2
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,2579
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,215
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,860
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,9
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Benton,Benton,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,1
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,1
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,3350
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,230
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,1243
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,15
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,1
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Blackford,Blackford,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,0
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,1
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,35
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,1
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,19654
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,1
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,2226
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,10181
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,75
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,1
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,1
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,1
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Boone,Boone,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,1
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,3
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,5015
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,375
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,2518
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,31
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,1
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Brown,Brown,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,1
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,8
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,6273
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,445
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,1891
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,24
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,1
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Carroll,Carroll,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,15
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,9697
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,1
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,680
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,3758
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,49
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,3
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Cass,Cass,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,1
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,30012
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,2301
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,18791
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Clark,Clark,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,6
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,8528
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,426
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,2306
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,11
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Clay,Clay,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
