




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Totals:                       44745                         6880                          880                           5735                          43                            13538                         4734                          946                           4986                          30                            10696                         24234                         

                                                                        State Representative, District 98
                                                            DAVID CLARK (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      40538                         8888                          947                           7608                          86                            17529                         17529                         
Totals:                       40538                         8888                          947                           7608                          86                            17529                         17529                         

                                                                        State Representative, District 99
                                                            BRENDA LOPEZ ROMERO (I) (DEM)                                                                                                                         
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      20922                         3864                          481                           2999                          18                            7362                          7362                          
Totals:                       20922                         3864                          481                           2999                          18                            7362                          7362                          

                                                                       State Representative, District 100
                                                            DEWEY L. MCCLAIN (I) (DEM)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      27383                         6011                          785                           3821                          51                            10668                         10668                         
Totals:                       27383                         6011                          785                           3821                          51                            10668                         10668                         

                                                                                                                                                  State Representative, District 101
                                                            VALERIE CLARK  (REP)                                                                                                                                  SAM PARK (I) (DEM)                                                                                                                                    
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      40365                         4463                          582                           2975                          7                             8027                          5775                          896                           4755                          33                            11459                         19486                         
Totals:                       40365                         4463                          582                           2975                          7                             8027                          5775                          896                           4755                          33                            11459                         19486                         

                                                                                                                                                  State Representative, District 102
                                                            PAULA HASTINGS  (REP)                                                                                                                                 GREGG KENNARD  (DEM)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      38903                         5379                          540                           4100                          14                            10033                         5155                          750                           4688                          24                            10617                         20650                         
Totals:                       38903                         5379                          540                           4100                          14                            10033                         5155                          750                           4688                          24                            10617                         20650                         

                                                                       State Representative, District 103
                                                            TIMOTHY BARR (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      27860                         5771                          603                           5051                          9                             11434                         11434                         
Hall                          25995                         6147                          470                           3453                          8                             10078                         10078                         
Totals:                       53855                         11918                         1073                          8504                          17                            21512                         21512                         

                                                                                                                                                  State Representative, District 104
                                                            CHUCK EFSTRATION (I) (REP)                                                                                                                            ANDREA STEPHENSON  (DEM)                                                                                                                              
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      51274                         6392                          519                           6563                          19                            13493                         5179                          690                           5904                          17                            11790                         25283                         
Totals:                       51274                         6392                          519                           6563                          19                            13493                         5179                          690                           5904                          17                            11790                         25283                         

                                                                                                                                                  State Representative, District 105
                                                            DONNA SHELDON  (REP)                                                                                                                                  DONNA MCLEOD  (DEM)                                                                                                                                   
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      45488                         5230                          527                           4452                          15                            10224                         5853                          937                           7525                          20                            14335                         24559                         
Totals:                       45488                         5230                          527                           4452                          15                            10224                         5853                          937                           7525                          20                            14335                         24559                         

                                                                       State Representative, District 106
                                                            BRETT HARRELL (I) (REP)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      39491                         7937                          980                           6020                          36                            14973                         14973                         
Totals:                       39491                         7937                          980                           6020                          36                            14973                         14973                         

                                                                                                                                                  State Representative, District 107
                                                            JANET MIHOCI  (REP)                                                                                                                                   SHELLY HUTCHINSON  (DEM)                                                                                                                              
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      35389                         4965                          561                           3173                          10                            8709                          6215                          863                           5295                          52                            12425                         21134                         
Totals:                       35389                         4965                          561                           3173                          10                            8709                          6215                          863                           5295                          52                            12425                         21134                         

                                                                                                                                                  State Representative, District 108
                                                            CLAY COX (I) (REP)                                                                                                                                    JASMINE CLARK  (DEM)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      35752                         5171                          629                           4769                          16                            10585                         4762                          716                           5350                          49                            10877                         21462                         
Totals:                       35752                         5171                          629                           4769                          16                            10585                         4762                          716                           5350                          49                            10877                         21462                         

                                                                                                                                                  State Representative, District 109
                                                            DALE RUTLEDGE (I) (REP)                                                                                                                               REGINA LEWIS-WARD  (DEM)                                                                                                                              
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Henry                         40617                         4849                          411                           6283                          4                             11547                         3476                          537                           6197                          4                             10214                         21761                         
Newton                        5408                          361                           26                            327                           0                             714                           318                           62                            396                           0                             776                           1490                          
Rockdale                      7214                          580                           58                            956                           0                             1594                          635                           96                            1306                          0                             2037                          3631                          
Totals:                       53239                         5790                          495                           7566                          4                             13855                         4429                          695                           7899                          4                             13027                         26882                         

                                                                       State Representative, District 110
                                                            ANDY WELCH (I) (REP)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Butts                         15280                         942                           119                           2723                          0                             3784                          3784                          
Henry                         22258                         3573                          312                           4848                          14                            8747                          8747                          
Newton                        15646                         1894                          136                           1483                          2                             3515                          3515                          
Totals:                       53184                         6409                          567                           9054                          16                            16046                         16046                         

                                                                                                                                                  State Representative, District 111
                                                            GEOFF CAUBLE (I) (REP)                                                                                                                                EL-MAHDI HOLLY  (DEM)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Henry                         55200                         4342                          533                           7507                          3                             12385                         5495                          1068                          9568                          12                            16143                         28528                         
Totals:                       55200                         4342                          533                           7507                          3                             12385                         5495                          1068                          9568                          12                            16143                         28528                         

                                                                       State Representative, District 112
                                                            DAVE BELTON (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Morgan                        13100                         3132                          259                           4346                          3                             7740                          7740                          
Newton                        25872                         7563                          530                           5078                          1                             13172                         13172                         
Totals:                       38972                         10695                         789                           9424                          4                             20912                         20912                         

                                                                       State Representative, District 113
                                                            PAM DICKERSON (I) (DEM)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Newton                        38158                         7229                          1299                          7750                          3                             16281                         16281                         
Rockdale                      5746                          777                           140                           1412                          0                             2329                          2329                          
Totals:                       43904                         8006                          1439                          9162                          3                             18610                         18610                         

                                                                       State Representative, District 114
                                                            TOM KIRBY (I) (REP)                                                                                                                                   
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Barrow                        11296                         1925                          108                           1354                          1                             3388                          3388                          
Gwinnett                      10789                         1335                          142                           1024                          2                             2503                          2503                          
Rockdale                      11866                         668                           78                            852                           0                             1598                          1598                          
Walton                        26885                         7620                          567                           4597                          8                             12792                         12792                         
Totals:                       60836                         11548                         895                           7827                          11                            20281                         20281                         

                                                                       State Representative, District 115
                                                            BRUCE WILLIAMSON (I) (REP)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Walton                        42114                         11698                         761                           7454                          22                            19935                         19935                         
Totals:                       42114                         11698                         761                           7454                          22                            19935                         19935                         

                                                                       State Representative, District 116
                                                            TERRY ENGLAND (I) (REP)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Barrow                        41621                         8891                          719                           7958                          1                             17569                         17569                         
Totals:                       41621                         8891                          719                           7958                          1                             17569                         17569                         

                                                                                                                                                  State Representative, District 117
                                                            HOUSTON GAINES  (REP)                                                                                                                                 DEBORAH GONZALEZ (I) (DEM)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Barrow                        5617                          881                           52                            733                           0                             1666                          314                           69                            289                           0                             672                           2338                          
Clarke                        23461                         2568                          404                           1972                          0                             4944                          3344                          637                           4143                          8                             8132                          13076                         
Jackson                       6763                          1079                          78                            921                           1                             2079                          319                           50                            291                           0                             660                           2739                          
Oconee                        8767                          1701                          208                           2566                          0                             4475                          689                           171                           1093                          1                             1954                          6429                          
Totals:                       44608                         6229                          742                           6192                          1                             13164                         4666                          927                           5816                          9                             11418                         24582                         

                                                                       State Representative, District 118
                                                            SPENCER FRYE (I) (DEM)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Clarke                        31916                         7401                          1000                          7151                          6                             15558                         15558                         
Totals:                       31916                         7401                          1000                          7151                          6                             15558                         15558                         

                                                                                                                                                  State Representative, District 119
                                                            MARCUS A WIEDOWER (REP)                                                                                                                               JONATHAN WALLACE (I) (DEM)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Clarke                        22244                         1889                          209                           1266                          0                             3364                          3311                          503                           4035                          3                             7852                          11216                         
Oconee                        18771                         4155                          308                           5504                          5                             9972                          1432                          232                           2410                          3                             4077                          14049                         
Totals:                       41015                         6044                          517                           6770                          5                             13336                         4743                          735                           6445                          6                             11929                         25265                         

                                                                                                                                                  State Representative, District 120
                                                            TREY RHODES (I) (REP)                                                                                                                                 CHARLES "CHUCK" HOGG  (DEM)                                                                                                                           
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Greene                        12081                         1675                          233                           4238                          2                             6148                          1058                          373                           1314                          3                             2748                          8896                          
Oglethorpe                    9473                          1761                          290                           2436                          1                             4488                          806                           109                           896                           0                             1811                          6299                          
Putnam                        10002                         1814                          223                           2465                          4                             4506                          574                           129                           774                           5                             1482                          5988                          
Taliaferro                    1211                          141                           50                            198                           1                             390                           147                           94                            208                           3                             452                           842                           
Wilkes                        4651                          707                           53                            818                           0                             1578                          687                           159                           565                           5                             1416                          2994                          
Totals:                       37418                         6098                          849                           10155                         8                             17110                         3272                          864                           3757                          16                            7909                          25019                         

                                                                       State Representative, District 121
                                                            BARRY FLEMING (I) (REP)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Columbia                      29576                         7368                          500                           5769                          3                             13640                         13640                         
McDuffie                      10746                         1867                          427                           3180                          0                             5474                          5474                          
Totals:                       40322                         9235                          927                           8949                          3                             19114                         19114                         

                                                                       State Representative, District 122
                                                            JODI LOTT (I) (REP)                                                                                                                                   
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Columbia                      43995                         10226                         916                           13034                         13                            24189                         24189                         
Totals:                       43995                         10226                         916                           13034                         13                            24189                         24189                         

                                                                                                                                                  State Representative, District 123
                                                            MARK NEWTON (I) (REP)                                                                                                                                 SCOTT RICHARD  (DEM)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Columbia                      21301                         4964                          328                           3945                          6                             9243                          2014                          340                           1631                          3                             3988                          13231                         
Richmond                      16273                         3512                          339                           2948                          2                             6801                          1795                          345                           1825                          0                             3965                          10766                         
Totals:                       37574                         8476                          667                           6893                          8                             16044                         3809                          685                           3456                          3                             7953                          23997                         

                                                                       State Representative, District 124
                                                            HENRY "WAYNE" HOWARD (I) (DEM)                                                                                                                        
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Richmond                      31011                         7299                          1121                          4666                          13                            13099                         13099                         
Totals:                       31011                         7299                          1121                          4666                          13                            13099                         13099                         

                                                                       State Representative, District 125
                                                            SHEILA CLARK NELSON (I) (DEM)                                                                                                                         
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Richmond                      32343                         7555                          1054                          4934                          21                            13564                         13564                         
Totals:                       32343                         7555                          1054                          4934                          21                            13564                         13564                         

                                                                                                                                                  State Representative, District 126
                                                            WILLIAM HARRIS  (REP)                                                                                                                                 GLORIA FRAZIER (I) (DEM)                                                                                                                              
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
